Altium Designer Pick and Place Locations
D:\payload_satellite\hw\SpaceLiin_Satellite_4U_Laser_Internal_External_V1.0.0\01_DESIGN\SpaceLiin_Satellite_4U_Laser_Internal_External_V1.0.0\Project Outputs for Satellite_4U_Laser_Int_Ext_V100\Pick Place for Satellite_4U_Laser_Int_Ext_V100.csv

========================================================================================================================
File Design Information:

Date:       29-04-26
Time:       23:40
Revision:   1904f59ff7e4e5852d04b8cf12b6fdea3460dc45
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"J1","0532611171","BottomLayer","MOLEX_0532611171","76.6500","23.7500","270",""
"R6","140R/0.1%","BottomLayer","RES_SMD_0603_SHUNT","42.5719","23.6627","90","RN73R1JTTD30R0B25"
"R26","1k","BottomLayer","RES_C_1608X60","26.4730","13.2840","270","RES"
"R25","1k","BottomLayer","RES_C_1608X60","26.4192","23.3547","270","RES"
"C23","0.22uF/25V","BottomLayer","CAP_C_1608X80","46.1042","25.0597","0","CAP"
"C6","47uF/20V","BottomLayer","CAP_TANT_2312","9.6710","10.6060","180","TAJC476K020RNJ"
"C24","2200pF/50V","BottomLayer","CAP_C_1608X80","38.0300","11.9250","270","CAP"
"C20","0.22uF/25V","BottomLayer","CAP_C_1608X80","17.1142","18.0560","180","CAP"
"U11","TPS7A4533DCQR","BottomLayer","SOT223-6","19.8723","13.7840","0","TPS7A4533DCQR"
"J3","CLP-111-02-X-D","BottomLayer","SAMTEC_CLP-111-02-X-D","61.0000","15.0000","180","CLP - Samtec 1.27mm Tiger Claw Rugged Reliable Dual Wipe Socket Strip"
"J2","0532611171","BottomLayer","MOLEX_0532611171","61.0000","5.3500","180",""
"U12","MCP4902-E/ST","BottomLayer","TSSOP14","75.9910","54.9600","270","MCP4902-E/ST"
"TP21","","BottomLayer","Testpoint_80","75.2000","49.9000","180","Test Point"
"TP20","","BottomLayer","Testpoint_80","69.0000","50.2000","180","Test Point"
"R47","4.7k","BottomLayer","RES_C_1608X60","71.2470","48.1000","180","RES"
"R46","4.7k","BottomLayer","RES_C_1608X60","71.2470","49.8000","180","RES"
"R45","4.7k","BottomLayer","RES_C_1608X60","74.5490","59.6900","0","RES"
"FB2","BLM18PG121SN1D","BottomLayer","IND_C_1608X60","71.2470","54.2623","180",""
"D44","S2303","BottomLayer","SOT23-3-132","64.7790","9.9790","180","S2303"
"C60","0.22uF/25V","BottomLayer","CAP_C_1608X80","71.2470","56.0757","180","CAP"
"C59","0.22uF/25V","BottomLayer","CAP_C_1608X80","71.2470","52.4739","0","CAP"
"C58","0.22uF/25V","BottomLayer","CAP_C_1608X80","71.2470","59.6775","0","CAP"
"D41","1N4148W-TP","BottomLayer","SOD23","64.3350","42.8300","180","1N4148W-TP"
"D36","1N4148W-TP","BottomLayer","SOD23","59.3050","69.6300","0","1N4148W-TP"
"D37","1N4148W-TP","BottomLayer","SOD23","64.3350","64.8300","180","1N4148W-TP"
"D43","1N4148W-TP","BottomLayer","SOD23","64.3350","31.8300","180","1N4148W-TP"
"D33","1N4148W-TP","BottomLayer","SOD23","23.6440","34.0000","270","1N4148W-TP"
"D13","1N4148W-TP","BottomLayer","SOD23","14.3140","66.5000","270","1N4148W-TP"
