Altium Designer Pick and Place Locations
D:\payload_satellite\hw\SpaceLiin_Satellite_4U_Laser_Internal_External_V1.0.0\01_DESIGN\SpaceLiin_Satellite_4U_Laser_Internal_External_V1.0.0\Project Outputs for Satellite_4U_Laser_Int_Ext_V100\Pick Place for Satellite_4U_Laser_Int_Ext_V100.txt

========================================================================================================================
File Design Information:

Date:       29-04-26
Time:       02:19
Revision:   af7f144855f854a7023b0a334644a044558cffe4
Variant:    No variations
Units used: mil

Designator Comment        Layer       Footprint             Center-X(mil) Center-Y(mil) Rotation Description                                                             
J1         0532611171     BottomLayer MOLEX_0532611171      3017.716      935.039       270      ""                                                                      
TP5        ""             BottomLayer Testpoint_80          2318.898      748.032       90       "Test Point"                                                            
R6         140R/0.1%      BottomLayer RES_SMD_0603_SHUNT    1676.059      931.604       90       RN73R1JTTD30R0B25                                                       
R26        1k             BottomLayer RES_C_1608X60         1042.244      522.992       270      RES                                                                     
R25        1k             BottomLayer RES_C_1608X60         1040.125      919.475       270      RES                                                                     
C23        0.22uF/25V     BottomLayer CAP_C_1608X80         1815.125      986.600       0        CAP                                                                     
C6         47uF/20V       BottomLayer CAP_TANT_2312         380.748       417.559       180      TAJC476K020RNJ                                                          
C24        220pF/50V      BottomLayer CAP_C_1608X80         1497.244      469.488       270      CAP                                                                     
C20        0.22uF/25V     BottomLayer CAP_C_1608X80         673.787       710.866       180      CAP                                                                     
U11        TPS7A4533DCQR  BottomLayer SOT223-6              782.374       542.677       0        TPS7A4533DCQR                                                           
J3         CLP-111-02-X-D BottomLayer SAMTEC_CLP-111-02-X-D 2401.575      590.551       180      "CLP - Samtec 1.27mm Tiger Claw Rugged Reliable Dual Wipe Socket Strip" 
J2         0532611171     BottomLayer MOLEX_0532611171      2401.575      210.630       180      ""                                                                      
U12        MCP4902-E/ST   BottomLayer TSSOP14               2991.772      2163.780      270      MCP4902-E/ST                                                            
TP22       ""             BottomLayer Testpoint_80          2716.535      2090.551      180      "Test Point"                                                            
TP21       ""             BottomLayer Testpoint_80          2960.630      1964.567      180      "Test Point"                                                            
TP20       ""             BottomLayer Testpoint_80          2716.535      1976.378      180      "Test Point"                                                            
R47        4.7k           BottomLayer RES_C_1608X60         2805.000      1893.701      180      RES                                                                     
R46        4.7k           BottomLayer RES_C_1608X60         2805.000      1960.630      180      RES                                                                     
R45        4.7k           BottomLayer RES_C_1608X60         2935.000      2350.000      0        RES                                                                     
FB2        BLM18PG121SN1D BottomLayer IND_C_1608X60         2805.000      2136.311      180      ""                                                                      
D44        S2303          BottomLayer SOT23-3-132           2550.354      392.874       180      S2303                                                                   
C60        0.22uF/25V     BottomLayer CAP_C_1608X80         2805.000      2207.704      180      CAP                                                                     
C59        0.22uF/25V     BottomLayer CAP_C_1608X80         2805.000      2065.901      0        CAP                                                                     
C58        0.22uF/25V     BottomLayer CAP_C_1608X80         2805.000      2349.507      0        CAP                                                                     
D41        1N4148W-TP     BottomLayer SOD23                 2532.874      1670.472      180      1N4148W-TP                                                              
D36        1N4148W-TP     BottomLayer SOD23                 2334.843      2741.338      0        1N4148W-TP                                                              
D37        1N4148W-TP     BottomLayer SOD23                 2532.874      2536.614      180      1N4148W-TP                                                              
D43        1N4148W-TP     BottomLayer SOD23                 2532.874      1237.402      180      1N4148W-TP                                                              
D33        1N4148W-TP     BottomLayer SOD23                 930.866       1338.583      270      1N4148W-TP                                                              
D13        1N4148W-TP     BottomLayer SOD23                 563.543       2618.110      270      1N4148W-TP                                                              
D30        1N4148W-TP     BottomLayer SOD23                 1665.512      1338.583      270      1N4148W-TP                                                              
LD25       LaserDiode     TopLayer    RLD65NZX1             2343.307      1257.087      90       RLD65NZX1                                                               
LD29       LaserDiode     TopLayer    RLD65NZX1             2343.307      2123.228      90       RLD65NZX1                                                               
LD28       LaserDiode     TopLayer    RLD65NZX1             2524.409      1894.882      90       RLD65NZX1                                                               
LD31       LaserDiode     TopLayer    RLD65NZX1             2343.307      2556.299      90       RLD65NZX1                                                               
LD27       LaserDiode     TopLayer    RLD65NZX1             2343.307      1690.157      90       RLD65NZX1                                                               
LD26       LaserDiode     TopLayer    RLD65NZX1             2524.409      1461.811      90       RLD65NZX1                                                               
LD30       LaserDiode     TopLayer    RLD65NZX1             2524.409      2327.953      90       RLD65NZX1                                                               
LD32       LaserDiode     TopLayer    RLD65NZX1             2524.409      2761.024      90       RLD65NZX1                                                               
C14        470pF/50V      BottomLayer CAP_C_1608X80         1107.244      522.992       270      CAP                                                                     
D1         SS54           BottomLayer DO-214AC_SMA          354.291       892.559       0        "DIODE SCHOTTKY"                                                        
U10        ADG1414BRUZ    BottomLayer TSSOP24               1960.000      1364.000      270      ADG1414BRUZ                                                             
U9         ADG1414BRUZ    BottomLayer TSSOP24               1960.000      1982.000      270      ADG1414BRUZ                                                             
U8         ADG1414BRUZ    BottomLayer TSSOP24               1960.000      2600.000      270      ADG1414BRUZ                                                             
U7         OPA2192        BottomLayer SO8                   1297.244      460.084       0        OPA2192IDR                                                              
U6         INA139         BottomLayer SOT23-5               1817.247      456.417       180      INA139NA/250                                                            
U5         OPA2192        BottomLayer SO8                   1295.125      859.474       0        OPA2192IDR                                                              
U4         INA139         BottomLayer SOT23-5               1815.129      866.597       180      INA139NA/250                                                            
U3         ADG1414BRUZ    BottomLayer TSSOP24               2953.960      1489.859      270      ADG1414BRUZ                                                             
U2         MCP4902-E/ST   BottomLayer TSSOP14               2991.772      2673.425      270      MCP4902-E/ST                                                            
U1         TPS5430DDAR    BottomLayer CONV_TPS5430DDAR      270.591       1096.968      0        "5.5V to 36V Input, 3A, 500kHz Step-Down Converter"                     
TP19       ""             BottomLayer Testpoint_80          1886.358      241.702       90       "Test Point"                                                            
TP18       ""             BottomLayer Testpoint_80          1934.134      241.702       90       "Test Point"                                                            
TP17       ""             BottomLayer Testpoint_80          1870.433      1663.536      90       "Test Point"                                                            
TP16       ""             BottomLayer Testpoint_80          1870.433      2301.356      90       "Test Point"                                                            
TP15       ""             BottomLayer Testpoint_80          1838.583      241.702       90       "Test Point"                                                            
TP14       ""             BottomLayer Testpoint_80          2301.007      2036.732      90       "Test Point"                                                            
TP13       ""             BottomLayer Testpoint_80          2885.827      1291.339      90       "Test Point"                                                            
TP11       ""             BottomLayer Testpoint_80          2468.504      468.504       90       "Test Point"                                                            
TP10       ""             BottomLayer Testpoint_80          2645.669      448.819       90       "Test Point"                                                            
TP9        ""             BottomLayer Testpoint_80          2712.598      2622.047      180      "Test Point"                                                            
TP8        ""             BottomLayer Testpoint_80          3129.921      2602.362      180      "Test Point"                                                            
TP7        ""             BottomLayer Testpoint_80          2712.598      2496.063      180      "Test Point"                                                            
TP4        ""             BottomLayer Testpoint_80          2468.504      748.032       90       "Test Point"                                                            
TP3        ""             BottomLayer Testpoint_80          2519.685      748.032       90       "Test Point"                                                            
TP2        ""             BottomLayer Testpoint_80          2566.929      748.032       90       "Test Point"                                                            
TP1        ""             BottomLayer Testpoint_80          771.654       102.362       180      "Test Point"                                                            
R44        4.7k           BottomLayer RES_C_1608X60         1810.000      1165.000      180      RES                                                                     
R43        4.7k           BottomLayer RES_C_1608X60         1928.504      1165.000      180      RES                                                                     
R42        4.7k           BottomLayer RES_C_1608X60         1807.933      1791.563      180      RES                                                                     
R41        4.7k           BottomLayer RES_C_1608X60         1807.933      1730.000      0        RES                                                                     
R40        4.7k           BottomLayer RES_C_1608X60         2803.150      1295.276      180      RES                                                                     
R39        4.7k           BottomLayer RES_C_1608X60         1807.933      2415.000      180      RES                                                                     
R38        4.7k           BottomLayer RES_C_1608X60         1807.933      2355.000      0        RES                                                                     
R28        1k             BottomLayer RES_C_1608X60         1817.244      331.772       180      RES                                                                     
R24        34.8R/0.1%     BottomLayer RES_SMD_0603_SHUNT    1678.178      519.488       90       RT0603BRD077R5L                                                         
R23        10k            BottomLayer RES_C_1608X60         1273.253      607.992       180      RES                                                                     
R22        140R           BottomLayer RES_C_1608X60         1532.244      377.992       0        RES                                                                     
